Título,...2,...3,...4,...5,...6
P: ¿Hace 5 años vivía en este distrito?,,,,,
Área Geográfica,,,,,
Toda la Base de Datos,,,,,
,,,,,
,Código,Distrito,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
,130109,"La Libertad, Trujillo, distrito: Salaverry",1846,13761,3337
,130110,"La Libertad, Trujillo, distrito: Simbal",373,3528,160
,130111,"La Libertad, Trujillo, distrito: Victor Larco Herrera",4982,51318,12206
,130201,"La Libertad, Ascope, distrito: Ascope",510,5570,382
,130202,"La Libertad, Ascope, distrito: Chicama",1343,12809,1115
,130203,"La Libertad, Ascope, distrito: Chocope",724,7906,691
,130204,"La Libertad, Ascope, distrito: Magdalena de Cao",185,2096,182
,130205,"La Libertad, Ascope, distrito: Paijan",2463,21782,1668
,130206,"La Libertad, Ascope, distrito: Razuri",785,7062,817
,130207,"La Libertad, Ascope, distrito: Santiago de Cao",1502,16522,1180
,130208,"La Libertad, Ascope, distrito: Casa Grande",2272,24749,1471
,130301,"La Libertad, Bolívar, distrito: Bolívar",458,3752,245
,130302,"La Libertad, Bolívar, distrito: Bambamarca",370,2469,69
,130303,"La Libertad, Bolívar, distrito: Condormarca",230,1598,86
,130304,"La Libertad, Bolívar, distrito: Longotea",214,1640,244
,130305,"La Libertad, Bolívar, distrito: Uchumarca",238,1882,126
,130306,"La Libertad, Bolívar, distrito: Ucuncha",95,675,66
,130401,"La Libertad, Chepén, distrito: Chepén",3478,39321,2934
,130402,"La Libertad, Chepén, distrito: Pacanga",1888,16812,2356
,130403,"La Libertad, Chepén, distrito: Pueblo Nuevo",989,9933,707
,130501,"La Libertad, Julcán, distrito: Julcán",1181,10115,209
,130502,"La Libertad, Julcán, distrito: Calamarca",458,4358,50
,130503,"La Libertad, Julcán, distrito: Carabamba",731,5422,68
,130504,"La Libertad, Julcán, distrito: Huaso",639,4744,49
,130601,"La Libertad, Otuzco, distrito: Otuzco",2300,21189,680
,130602,"La Libertad, Otuzco, distrito: Agallpampa",1026,8064,162
,130604,"La Libertad, Otuzco, distrito: Charat",209,2129,82
,130605,"La Libertad, Otuzco, distrito: Huaranchal",370,3425,145
,130606,"La Libertad, Otuzco, distrito: La Cuesta",57,530,27
,130608,"La Libertad, Otuzco, distrito: Mache",242,2384,67
,130610,"La Libertad, Otuzco, distrito: Paranday",45,466,12
,130611,"La Libertad, Otuzco, distrito: Salpo",515,5137,179
,130613,"La Libertad, Otuzco, distrito: Sinsicap",745,6214,73
,130614,"La Libertad, Otuzco, distrito: Usquil",2181,18990,217
,130701,"La Libertad, Pacasmayo, distrito: San Pedro de Lloc",1473,14628,1536
,130702,"La Libertad, Pacasmayo, distrito: Guadalupe",3442,33690,3085
,130703,"La Libertad, Pacasmayo, distrito: Jequetepeque",365,3341,430
,130704,"La Libertad, Pacasmayo, distrito: Pacasmayo",2422,23649,2888
,130705,"La Libertad, Pacasmayo, distrito: San José",1053,10106,789
,130801,"La Libertad, Pataz, distrito: Tayabamba",1282,10615,593
,130802,"La Libertad, Pataz, distrito: Buldibuyo",389,3020,403
,130803,"La Libertad, Pataz, distrito: Chillia",1441,9991,246
,130804,"La Libertad, Pataz, distrito: Huancaspata",607,5154,116
,130805,"La Libertad, Pataz, distrito: Huaylillas",99,983,76
,130806,"La Libertad, Pataz, distrito: Huayo",378,2948,152
,130807,"La Libertad, Pataz, distrito: Ongon",126,1093,31
,130808,"La Libertad, Pataz, distrito: Parcoy",1680,12484,4566
,130809,"La Libertad, Pataz, distrito: Pataz",1107,6228,1602
,130810,"La Libertad, Pataz, distrito: Pias",152,1323,181
,130811,"La Libertad, Pataz, distrito: Santiago de Challas",173,1988,49
,130812,"La Libertad, Pataz, distrito: Taurija",317,2373,89
,130813,"La Libertad, Pataz, distrito: Urpay",175,1830,43
